	GeneIndex	Name
0	0	ddx11l10
0	0	ddx11p
0	0	ddx11l1
1	1	wash7p
1	1	fam39f
2	2	mi0022705
3	3	mi0006363
4	4	fam138f
4	4	f379
5	5	or4f5
6	6	loc729737
7	7	dq597235
8	8	dq599768
9	9	loc100133331
10	10	loc100132062
11	11	loc388312
12	12	or4f29
13	13	bc036251
14	14	ja429830
15	15	ja429831
16	16	jb137814
17	17	mi0022558
18	18	m37726
19	19	dq575786
20	20	dq599872
21	21	ak310751
22	22	loc100288069
23	23	linc00115
23	23	ncrna00115
23	23	flj22639
24	24	loc643837
25	25	fam41c
26	26	ak056486
27	27	loc100130417
28	28	samd11
28	28	mgc45873
29	29	noc2l
29	29	dkfzp564c186
29	29	net7
29	29	net15
29	29	nir
29	29	ppp1r112
30	30	klhl17
31	31	plekhn1
31	31	dkfzp434h2010
32	32	perm1
32	32	c1orf170
32	32	mgc13275
32	32	rp11-54o7.8
33	33	hes4
33	33	bhlhb42
34	34	isg15
34	34	g1p2
34	34	ifi15
34	34	ucrp
35	35	agrn
35	35	agrin
36	36	ak310350
37	37	bc033949
38	38	rnf223
39	39	c1orf159
39	39	flj20584
40	40	loc254099
41	41	mi0000342
42	42	mi0000737
43	43	ja715134
44	44	mi0001641
45	45	ja715143
46	46	ak128833
47	47	ttll10
47	47	ttll5
47	47	flj36119
48	48	tnfrsf18
48	48	aitr
48	48	gitr
48	48	cd357
49	49	tnfrsf4
49	49	txgp1l
49	49	act35
49	49	ox40
49	49	cd134
50	50	sdf4
50	50	cab45
51	51	b3galt6
51	51	beta3galt6
52	52	c1qtnf12
52	52	c1qdc2
52	52	fam132a
52	52	mgc105127
52	52	ctrp12
52	52	adipolin
53	53	ube2j2
53	53	ubc6p
53	53	ncube2
54	54	scnn1d
54	54	enacdelta
54	54	dnach
55	55	acap3
55	55	centb5
55	55	kiaa1716
56	56	mi0022571
57	57	pusl1
57	57	flj90811
58	58	ints11
58	58	cpsf3l
58	58	flj20542
58	58	rc-68
58	58	cpsf73l
58	58	int11
59	59	mi0022572
60	60	cptp
