,GeneIndex,Name,Log2FoldChange,AdjustedPValue
0,0,DDX11L1,0.0,1.0
1,1,WASH7P,0.0,1.0
2,2,MI0022705,0.0,1.0
3,3,MI0006363,0.0,1.0
4,4,FAM138F,0.0,1.0
5,5,OR4F5,0.0,1.0
6,6,LOC729737,0.0,1.0
7,7,DQ597235,0.0,1.0
8,8,DQ599768,0.0,1.0
9,9,LOC100133331,0.0,1.0
10,10,LOC100132062,0.0,1.0
11,11,LOC388312,0.0,1.0
12,12,OR4F29,0.0,1.0
13,13,BC036251,0.0,1.0
14,14,JA429830,0.0,1.0
15,15,JA429831,0.0,1.0
16,16,JB137814,0.0,1.0
17,17,MI0022558,0.0,1.0
18,18,M37726,0.0,1.0
19,19,DQ575786,0.0,1.0
20,20,DQ599872,0.0,1.0
21,21,AK310751,0.0,1.0
22,22,LOC100288069,0.0,1.0
23,23,LINC00115,0.0,1.0
24,24,LOC643837,0.0,1.0
25,25,FAM41C,0.0,1.0
26,26,AK056486,0.0,1.0
27,27,LOC100130417,0.0,1.0
28,28,SAMD11,0.0,1.0
29,29,NOC2L,0.0,1.0
30,30,KLHL17,0.0,1.0
31,31,PLEKHN1,0.0,1.0
32,32,C1orf170,0.0,1.0
33,33,HES4,0.0,1.0
34,34,ISG15,-1.95451652592198,0.004971928758715
35,35,AGRN,0.0,1.0
36,36,AK310350,0.0,1.0
37,37,BC033949,0.0,1.0
38,38,RNF223,0.0,1.0
39,39,C1orf159,0.0,1.0
40,40,LOC254099,0.0,1.0
41,41,MI0000342,0.0,1.0
42,42,MI0000737,0.0,1.0
43,43,JA715134,0.0,1.0
44,44,MI0001641,0.0,1.0
45,45,JA715143,0.0,1.0
46,46,AK128833,0.0,1.0
47,47,TTLL10,0.0,1.0
48,48,TNFRSF18,2.43326985659452,0.001849360052636
49,49,TNFRSF4,0.0,1.0
50,50,SDF4,0.0,1.0
51,51,B3GALT6,0.0,1.0
52,52,FAM132A,0.0,1.0
53,53,UBE2J2,0.0,1.0
54,54,SCNN1D,0.0,1.0
55,55,ACAP3,0.0,1.0
56,56,MI0022571,0.0,1.0
57,57,PUSL1,0.0,1.0
58,58,CPSF3L,0.0,1.0
59,59,MI0022572,0.0,1.0
60,60,GLTPD1,0.0,1.0
61,61,TAS1R3,0.0,1.0
62,62,DVL1,0.0,1.0
63,63,MI0022653,0.0,1.0
64,64,MXRA8,0.0,1.0
65,65,AURKAIP1,0.0,1.0
66,66,CCNL2,0.0,1.0
67,67,LOC148413,0.0,1.0
68,68,MRPL20,0.0,1.0
69,69,ANKRD65,0.0,1.0
70,70,TMEM88B,0.0,1.0
71,71,VWA1,0.0,1.0
72,72,ATAD3C,0.0,1.0
73,73,ATAD3B,0.0,1.0
74,74,ATAD3A,0.0,1.0
75,75,AX747755,0.0,1.0
76,76,TMEM240,0.0,1.0
77,77,SSU72,0.0,1.0
78,78,HP08716,0.0,1.0
79,79,C1orf233,0.0,1.0
80,80,AK094692,0.0,1.0
81,81,MIB2,0.0,1.0
82,82,MMP23B,0.0,1.0
83,83,CDK11B,0.0,1.0
84,84,CDC2L1,0.0,1.0
85,85,SLC35E2B,0.0,1.0
86,86,MMP23A,0.0,1.0
87,87,CDK11A,0.0,1.0
88,88,AK097814,0.0,1.0
89,89,SLC35E2,0.0,1.0
90,90,NADK,0.0,1.0
91,91,GNB1,0.0,1.0
92,92,CALML6,0.0,1.0
93,93,TMEM52,0.0,1.0
94,94,C1orf222,0.0,1.0
95,95,KIAA1751,0.0,1.0
96,96,AK054708,0.0,1.0
97,97,GABRD,0.0,1.0
98,98,PRKCZ,0.0,1.0
99,99,AX747530,0.0,1.0
100,100,C1orf86,0.0,1.0
101,101,BC018779,0.0,1.0
102,102,SKI,0.0,1.0
103,103,MORN1,0.0,1.0
104,104,LOC100129534,0.0,1.0
105,105,RER1,0.0,1.0
106,106,PEX10,0.0,1.0
107,107,PLCH2,0.0,1.0
108,108,PANK4,0.0,1.0
109,109,HES5,0.0,1.0
110,110,LOC115110,0.0,1.0
111,111,LOC100133445,0.0,1.0
112,112,TNFRSF14,0.0,1.0
113,113,FAM213B,0.0,1.0
114,114,MMEL1,0.0,1.0
115,115,TTC34,0.0,1.0
116,116,ACTRT2,0.0,1.0
117,117,FLJ42875,0.0,1.0
118,118,PRDM16,-1.27011256187525,0.000145717656541
119,119,MI0015861,0.0,1.0
120,120,ARHGEF16,0.0,1.0
121,121,MEGF6,0.0,1.0
122,122,MI0003556,0.0,1.0
123,123,TPRG1L,0.0,1.0
124,124,WRAP73,0.0,1.0
125,125,TP73,3.28832368397294,4.91e-05
126,126,TP73-AS1,0.0,1.0
127,127,CCDC27,0.0,1.0
128,128,SMIM1,0.0,1.0
129,129,LRRC47,0.0,1.0
130,130,CEP104,0.0,1.0
131,131,DFFB,0.0,1.0
132,132,C1orf174,0.0,1.0
133,133,LOC100133612,0.0,1.0
134,134,LOC728716,0.0,1.0
135,135,LOC284661,0.0,1.0
136,136,AJAP1,0.0,1.0
137,137,BC037321,0.0,1.0
138,138,AK125078,0.0,1.0
139,139,MI0016753,0.0,1.0
140,140,MI0017322,0.0,1.0
141,141,NPHP4,0.0,1.0
142,142,KCNAB2,0.0,1.0
143,143,CHD5,0.0,1.0
144,144,RPL22,0.0,1.0
145,145,RNF207,1.82208205241621,0.000289126602582
146,146,ICMT,0.0,1.0
147,147,C1orf211,0.0,1.0
148,148,HES3,0.0,1.0
149,149,GPR153,0.0,1.0
150,150,ACOT7,0.0,1.0
151,151,HES2,0.0,1.0
152,152,ESPN,0.0,1.0
153,153,MI0015864,0.0,1.0
154,154,TNFRSF25,0.0,1.0
155,155,PLEKHG5,0.0,1.0
156,156,NOL9,0.0,1.0
157,157,TAS1R1,0.0,1.0
158,158,ZBTB48,0.0,1.0
159,159,KLHL21,0.0,1.0
160,160,PHF13,0.0,1.0
161,161,THAP3,0.0,1.0
162,162,DNAJC11,0.0,1.0
163,163,CAMTA1,0.0,1.0
164,164,VAMP3,0.0,1.0
165,165,PER3,0.0,1.0
166,166,UTS2,0.0,1.0
167,167,TNFRSF9,0.0,1.0
168,168,TRNA_Pseudo,0.0,1.0
169,169,PARK7,0.0,1.0
170,170,AX747125,0.0,1.0
171,171,ERRFI1,0.0,1.0
172,172,SLC45A1,0.0,1.0
173,173,RERE,0.0,1.0
174,174,BC113958,0.0,1.0
175,175,ENO1,0.0,1.0
176,176,MI0022573,0.0,1.0
177,177,ENO1-AS1,0.0,1.0
178,178,CA6,0.0,1.0
179,179,SLC2A7,0.0,1.0
180,180,SLC2A5,0.0,1.0
181,181,GPR157,0.0,1.0
182,182,MI0000268,0.0,1.0
183,183,H6PD,0.0,1.0
184,184,SPSB1,1.0520364779753,0.001410871800684
185,185,5S_rRNA,0.0,1.0
186,186,SLC25A33,0.0,1.0
187,187,TMEM201,0.0,1.0
188,188,PIK3CD,0.0,1.0
189,189,C1orf200,0.0,1.0
190,190,BC038541,0.0,1.0
191,191,CLSTN1,0.0,1.0
192,192,CTNNBIP1,0.0,1.0
193,193,LZIC,0.0,1.0
194,194,NMNAT1,0.0,1.0
195,195,MI0019304,0.0,1.0
196,196,RBP7,0.0,1.0
197,197,UBE4B,0.0,1.0
198,198,KIF1B,0.0,1.0
199,199,MI0014254,0.0,1.0
200,200,PGD,1.11218972711502,0.000118010284434
201,201,APITD1,0.0,1.0
202,202,APITD1-CORT,0.0,1.0
203,203,CORT,0.0,1.0
204,204,DFFA,0.0,1.0
205,205,PEX14,0.0,1.0
206,206,CASZ1,0.0,1.0
207,207,C1orf127,0.0,1.0
208,208,TARDBP,0.0,1.0
209,209,MASP2,0.0,1.0
210,210,SRM,0.0,1.0
211,211,EXOSC10,0.0,1.0
212,212,MTOR,0.0,1.0
213,213,MTOR-AS1,0.0,1.0
214,214,ANGPTL7,0.0,1.0
215,215,UBIAD1,0.0,1.0
216,216,PTCHD2,0.0,1.0
217,217,FBXO2,0.0,1.0
218,218,FBXO44,0.0,1.0
219,219,FBXO6,0.0,1.0
220,220,MAD2L2,0.0,1.0
221,221,DRAXIN,0.0,1.0
222,222,AK125437,0.0,1.0
223,223,AGTRAP,0.0,1.0
224,224,C1orf167,0.0,1.0
225,225,MTHFR,0.0,1.0
